Genus,Family,Family Common Name
Abelia,LINNAEACEAE,Twinflower Family
Abelmoschus,MALVACEAE,Mallow Family
Abutilon,MALVACEAE,Mallow Family
Acalypha,EUPHORBIACEAE,Spurge Family
Acanthospermum,ASTERACEAE,Aster/Composite Family
Acer,ACERACEAE,Maple Family
Achillea,ASTERACEAE,Aster/Composite Family
Achyranthes,AMARANTHACEAE,Amaranth Family
Acicarpha,CALYCERACEAE,Calycera Family
Acmella,ASTERACEAE,Aster/Composite Family
Acmispon,FABACEAE,Legume Family
Aconitum,RANUNCULACEAE,Buttercup/Crowfoot Family
Acorus,ACORACEAE,Calamus Family
Actaea,RANUNCULACEAE,Buttercup/Crowfoot Family
Adiantum,PTERIDACEAE,Maidenhair Family
Adonis,RANUNCULACEAE,Buttercup/Crowfoot Family
Aegilops,POACEAE,Grass Family
Aeschynomene,FABACEAE,Legume Family
Aesculus,HIPPOCASTANACEAE,Horse-Chestnut Family
Aethusa,APIACEAE,Carrot/Parsley Family
Agalinis,OROBANCHACEAE,Broomrape Family
Agarista,ERICACEAE,Heath Family
Agastache,LAMIACEAE,Mint Family
Agave,AGAVACEAE,Century-Plant Family
Ageratina,ASTERACEAE,Aster/Composite Family
Ageratum,ASTERACEAE,Aster/Composite Family
Agrimonia,ROSACEAE,Rose Family
Agrostemma,CARYOPHYLLACEAE,Pink Family
Agrostis,POACEAE,Grass Family
Ailanthus,SIMAROUBACEAE,Quassia Family
Aira,POACEAE,Grass Family
Ajuga,LAMIACEAE,Mint Family
Akebia,LARDIZABALACEAE,Lardizabala Family
Albizia,FABACEAE,Legume Family
Alcea,MALVACEAE,Mallow Family
Aletris,NARTHECIACEAE,Bog-Asphodel Family
Alisma,ALISMATACEAE,Water-Plantain Family
Alliaria,BRASSICACEAE,Mustard Family
Allium,ALLIACEAE,Onion Family
Alnus,BETULACEAE,Birch Family
Alopecurus,POACEAE,Grass Family
Alstroemeria,ALSTROEMERIACEAE,Peruvian-Lily Family
Alternanthera,AMARANTHACEAE,Amaranth Family
Alysicarpus,FABACEAE,Legume Family
Alyssum,BRASSICACEAE,Mustard Family
Amaranthus,AMARANTHACEAE,Amaranth Family
Ambrosia,ASTERACEAE,Aster/Composite Family
Amelanchier,ROSACEAE,Rose Family
Amianthium,MELANTHIACEAE,Bunchflower Family
Ammannia,LYTHRACEAE,Loosestrife Family
Ammi,APIACEAE,Carrot/Parsley Family
Ammoselinum,APIACEAE,Carrot/Parsley Family
Amorpha,FABACEAE,Legume Family
Ampelopsis,VITACEAE,Grape Family
Amphiachyris,ASTERACEAE,Aster/Composite Family
Amphicarpaea,FABACEAE,Legume Family
Amphicarpum,POACEAE,Grass Family
Amsonia,APOCYNACEAE,Dogbane Family
Anagallis,LYSIMACHIACEAE,Yellow-Loosestrife Family
Andropogon,POACEAE,Grass Family
Anemone,RANUNCULACEAE,Buttercup/Crowfoot Family
Anethum,APIACEAE,Carrot/Parsley Family
Angelica,APIACEAE,Carrot/Parsley Family
Anoda,MALVACEAE,Mallow Family
Antennaria,ASTERACEAE,Aster/Composite Family
Anthemis,ASTERACEAE,Aster/Composite Family
Anthenantia,POACEAE,Grass Family
Anthoxanthum,POACEAE,Grass Family
Anthriscus,APIACEAE,Carrot/Parsley Family
Antigonon,POLYGONACEAE,Buckwheat Family
Antirrhinum,PLANTAGINACEAE,Plantain Family
Aphanes,ROSACEAE,Rose Family
Apios,FABACEAE,Legume Family
Aplectrum,ORCHIDACEAE,Orchid Family
Apocynum,APOCYNACEAE,Dogbane Family
Apteria,BURMANNIACEAE,Burmannia Family
Aquilegia,RANUNCULACEAE,Buttercup/Crowfoot Family
Arabidopsis,BRASSICACEAE,Mustard Family
Arabis,BRASSICACEAE,Mustard Family
Arachis,FABACEAE,Legume Family
Aralia,ARALIACEAE,Ginseng Family
Arctium,ASTERACEAE,Aster/Composite Family
Ardisia,MYRSINACEAE,Colicwood Family
Arenaria,CARYOPHYLLACEAE,Pink Family
Argemone,PAPAVERACEAE,Poppy Family
Arisaema,ARACEAE,Arum Family
Aristida,POACEAE,Grass Family
Arivela,CLEOMACEAE,Spider-Flower/Cleome Family
Arnica,ASTERACEAE,Aster/Composite Family
Arnoglossum,ASTERACEAE,Aster/Composite Family
Aronia,ROSACEAE,Rose Family
Arrhenatherum,POACEAE,Grass Family
Artemisia,ASTERACEAE,Aster/Composite Family
Arthraxon,POACEAE,Grass Family
Aruncus,ROSACEAE,Rose Family
Arundinaria,POACEAE,Grass Family
Arundo,POACEAE,Grass Family
Asarum,ARISTOLOCHIACEAE,Birthwort Family
Asclepias,APOCYNACEAE,Dogbane Family
Asemeia,POLYGALACEAE,Milkwort Family
Asimina,ANNONACEAE,Custard-Apple Family
Asparagus,ASPARAGACEAE,Asparagus Family
Aspidistra,RUSCACEAE,Ruscus Family
Asplenium,ASPLENIACEAE,Spleenwort Family
Aster,ASTERACEAE,Aster/Composite Family
Astilbe,SAXIFRAGACEAE,Saxifrage Family
Astragalus,FABACEAE,Legume Family
Astranthium,ASTERACEAE,Aster/Composite Family
Astrolepis,PTERIDACEAE,Maidenhair Family
Asystasia,ACANTHACEAE,Acanthus/Bear’s-Breeches Family
Athyrium,ATHYRIACEAE,Lady Fern Family
Atriplex,CHENOPODIACEAE,Goosefoot Family
Aureolaria,OROBANCHACEAE,Broomrape Family
Avena,POACEAE,Grass Family
Axonopus,POACEAE,Grass Family
Azolla,SALVINIACEAE,Floating Fern Family
Baccharis,ASTERACEAE,Aster/Composite Family
Bacopa,PLANTAGINACEAE,Plantain Family
Balduina,ASTERACEAE,Aster/Composite Family
Ballota,LAMIACEAE,Mint Family
Baptisia,FABACEAE,Legume Family
Barbarea,BRASSICACEAE,Mustard Family
Bartonia,GENTIANACEAE,Gentian Family
Basella,BASELLACEAE,Country-Spinach Family
Bassia,CHENOPODIACEAE,Goosefoot Family
Batis,BATACEAE,Saltwort Family
Begonia,BEGONIACEAE,Begonia Family
Berberis,BERBERIDACEAE,Barberry Family
Berchemia,RHAMNACEAE,Buckthorn Family
Berlandiera,ASTERACEAE,Aster/Composite Family
Betula,BETULACEAE,Birch Family
Bidens,ASTERACEAE,Aster/Composite Family
Bifora,APIACEAE,Carrot/Parsley Family
Bigelowia,ASTERACEAE,Aster/Composite Family
Bignonia,BIGNONIACEAE,Trumpet-Creeper/Bignonia Family
Blechnum,BLECHNACEAE,Chain Fern Family
Blephilia,LAMIACEAE,Mint Family
Boechera,BRASSICACEAE,Mustard Family
Boehmeria,URTICACEAE,Nettle Family
Boerhavia,NYCTAGINACEAE,Four-O'clock Family
Bolboschoenus,CYPERACEAE,Sedge Family
Boltonia,ASTERACEAE,Aster/Composite Family
Borrichia,ASTERACEAE,Aster/Composite Family
Bothriochloa,POACEAE,Grass Family
Botrypus,OPHIOGLOSSACEAE,Adder's-Tongue Family
Bouchea,VERBENACEAE,Verbena Family
Bouteloua,POACEAE,Grass Family
Bowlesia,APIACEAE,Carrot/Parsley Family
Boykinia,SAXIFRAGACEAE,Saxifrage Family
Brachyelytrum,POACEAE,Grass Family
Bradburia,ASTERACEAE,Aster/Composite Family
Brasenia,CABOMBACEAE,Water-Shield Family
Brassica,BRASSICACEAE,Mustard Family
