SpeciesName,CommonName
Abelia ×grandiflora,Glossy Abelia
Abelmoschus esculentus,Okra
Abutilon theophrasti,"Velvet-Leaf, Indian-Mallow, Butter-Print, Pie-Marker"
Acalypha alopecuroidea,Foxtail Copperleaf
Acalypha deamii,"Deam's Three-Seed-Mercury, Large-Seed Mercury, Two-Seed Copperleaf"
Acalypha gracilens,"Slender Three-Seed-Mercury, Short-Stalk Copperleaf"
Acalypha ostryifolia,"Hop-Hornbeam Copperleaf, Pineland Three-Seed-Mercury, Rough-Pod Copperleaf"
Acalypha poiretii,Poiret’s Copperleaf
Acalypha rhomboidea,"Common Three-Seed-Mercury, Common Copperleaf, Rhombic Copperleaf"
Acalypha setosa,Cuban Copperleaf
Acalypha virginica,"Virginia Three-Seed-Mercury, Virginia Copperleaf"
Acanthospermum australe,"Paraguayan Starbur, Sheep-Burr, Guay Greenstripe"
Acanthospermum hispidum,"Hispid Starbur, Bristly Starbur, Hispid Greenstripe"
Acanthospermum humile,"Low Starbur, Roadside Greenstripe"
Acer floridanum,"Florida Maple, Southern Sugar Maple"
Acer leucoderme,"Chalk Maple, Pale Maple"
Acer negundo,"Box-Elder, Ash-Leaf Maple"
Acer nigrum,Black Maple
Acer rubrum var. drummondii,"Swamp Red Maple, Drummond’s Red Maple, Drummond’s Maple"
Acer rubrum var. rubrum,Red Maple
Acer rubrum var. trilobum,"Carolina Red Maple, Trident Maple"
Acer saccharinum,Silver Maple
Acer saccharum,Sugar Maple
Achillea millefolium,"Common Yarrow, Thousand-Leaf, Milfoil"
Achyranthes aspera,"Devil’s-Horsewhip, Prickly Chaff-Flower, Rough Chaff-Tree"
Achyranthes japonica var. hachijoensis,Japanese Chaff-Flower
Acicarpha tribuloides,Madam-Gorgon
Acmella repens,"Creeping Spotflower, Opposite-Leaf Spotflower"
Acmispon americanum,American Bird’s-Foot-Trefoil
Aconitum uncinatum,"Southern Blue Monkshood, Eastern Blue Monkshood, Appalachian Blue Monkshood"
Acorus calamus,"Sweet-Flag, European Calamus"
Actaea pachypoda,"White Baneberry, Dolls'-Eyes, White-Cohosh"
Actaea racemosa,"Common Black-Cohosh, Early Black-Cohosh, Black-Bugbane, Black-Snakeroot, Fairy-Candles"
Actaea rubifolia,"Appalachian Bugbane, Appalachian Black-Cohosh"
Adiantum capillus-veneris,"Southern Maidenhair Fern, Venus’-Hair Fern"
Adiantum hispidulum,"Rough Maidenhair Fern, Rosy Maidenhair Fern, Garden Maidenhair"
Adiantum pedatum,"Northern Maidenhair Fern Common Maidenhair Fern, American Maidenhair"
Adonis annua,"Blood-Drops, Bird's-Eye, Autumn-Adonis, Pheasant's-Eye"
Aegilops cylindrica,"Jointed Goatgrass, Bearded Goatgrass"
Aeschynomene americana,"Shy-Leaf, American Joint-Vetch"
Aeschynomene indica,"Indian Joint-Vetch, Southern Joint-Vetch"
Aeschynomene rudis,"Zigzag Joint-Vetch, Frisolillo"
Aeschynomene viscidula,Sticky Joint-Vetch
Aesculus flava,"Yellow Buckeye, Large Buckeye, Sweet Buckeye"
Aesculus glabra,"Ohio Buckeye, Fetid Buckeye"
Aesculus hippocastanum,Horse-Chestnut
Aesculus parviflora,Bottlebrush Buckeye
Aesculus pavia,"Red Buckeye, Scarlet Buckeye"
Aesculus sylvatica,Painted Buckeye
Aethusa cynapium,Fool’s-Parsley
Agalinis aphylla,"Scale-Leaf False Foxglove, Leafless False Foxglove"
Agalinis auriculata,"Ear-Leaf False Foxglove, Eared False Foxglove"
Agalinis decemloba,Ten-Lobe False Foxglove
Agalinis divaricata,Pineland False Foxglove
Agalinis fasciculata,"Beach False Foxglove, Tall False Foxglove, Fascicled Gerardia"
Agalinis filicaulis,"Jackson False Foxglove, Thin-Stem False Foxglove"
Agalinis filifolia,Seminole False Foxglove
Agalinis gattingeri,"Round-Stem False Foxglove, Gattinger's False Foxglove"
Agalinis georgiana,Georgia False Foxglove
Agalinis harperi,Coastal-Plain False Foxglove
Agalinis heterophylla,Prairie False Foxglove
Agalinis linifolia,Flaxleaf False Foxglove
Agalinis maritima var. grandiflora,Saltmarsh False Foxglove
Agalinis obtusifolia,Blunt-Leaf False Foxglove
Agalinis oligophylla,Ridge-Stem False Foxglove
Agalinis plukenetii,Chattahoochee False Foxglove
Agalinis pulchella,St. Mark’s False Foxglove
Agalinis purpurea,"Purple False Foxglove, Large Purple Gerardia"
Agalinis setacea,Threadleaf False Foxglove
Agalinis tenella,Slender False Foxglove
Agalinis tenuifolia var. leucanthera,White-Flower False Foxglove
Agalinis tenuifolia var. macrophylla,Bigleaf False Foxglove
Agalinis tenuifolia var. tenuifolia,Slender-Leaf False Foxglove
Agarista populifolia,"Florida Hobblebush, Carolina Doghobble, Pipe-Plant"
Agastache nepetoides,Yellow Giant-Hyssop
Agave americana,"American Century-Plant, Maguey, American-Aloe"
Ageratina altissima,"Common White Snakeroot, Common Milk-Poison"
Ageratina aromatica,"Lesser Snakeroot, Small-Leaf White Snakeroot, Wild Hoarhound"
Ageratum conyzoides,"Tropical Whiteweed, Ageratum, Billygoat-Weed"
Agrimonia gryposepala,"Tall Hairy Agrimony, Common Agrimony, Tall Hairy Groovebur"
Agrimonia incisa,"Incised Agrimony, Pineland Agrimony, Incised Groovebur"
Agrimonia microcarpa,"Small-Fruit Agrimony, Low Agrimony, Small-Fruit Groovebur"
Agrimonia parviflora,"Harvestlice, Small-Flower Agrimony, Swamp Agrimony, Southern Agrimony"
Agrimonia pubescens,"Soft Agrimony, Downy Agrimony, Soft Groovebur"
Agrimonia rostellata,"Beaked Agrimony, Woodland Agrimony, Beaked Groovebur"
Agrostemma githago,"Common Corncockle, Purple Cockle, Corn-Campion"
Agrostis elliottiana,"Elliott's Bentgrass, Southern Bentgrass, Elliott’s Bent"
Agrostis gigantea,"Red-Top, Black Bentgrass, Black Bent"
Agrostis hyemalis,"Winter Bentgrass, Ticklegrass, Small Bentgrass, Winter Bent"
Agrostis perennans,"Autumn Bentgrass, Upland Bentgrass, Upland Bent, Autumn Bent"
Agrostis scabra,"Rough Bentgrass, Rough Bent, Fly-Away Grass"
Agrostis stolonifera,"Creeping Bentgrass, Spreading Bent"
Ailanthus altissima,"Tree-Of-Heaven, Copal-Tree, Stink-Tree, Chinese-Sumac, Stinking-Sumac"
Aira caryophyllea,Common Silver Hairgrass
Aira elegans,"Elegant Hairgrass, Annual Silver Hairgrass"
Ajuga reptans,"Carpet Bugle, Carpet Bugleweed, Blue Bugle, Common Bugle"
Akebia quinata,"Chocolate-Vine, Five-Leaf"
Albizia julibrissin,"Silktree, Mimosa-Tree, Japanese Mimosa"
Alcea rosea,Hollyhock
Aletris aurea,Golden Colic-Root
Aletris farinosa,"White Colic-Root, White Star-Grass, Mealy Colic-Root, Unicorn-Root"
Aletris lutea,Yellow Colic-Root
Aletris obovata,"Southern Colic-Root, Southern White Colic-Root"
Alisma subcordatum,"American Water-Plantain, Southern Water-Plantain"
Alliaria petiolata,"Garlic-Mustard, Hedge-Garlic, Poorman's Mustard"
Allium ampeloprasum,"Broad-Leaf Wild Leek, Wild Elephant Garlic, Great-Headed Garlic"
Allium burdickii,"White Ramps, Narrowleaf Ramps, Narrowleaf Wild Leek"
Allium canadense var. canadense,"Wild Onion, Meadow Garlic, Canadian Garlic"
Allium canadense var. mobilense,"Glade Onion, Mobile Onion, Pink Wild Onion"
Allium cernuum,Nodding Onion
Allium cuthbertii,"Striped Garlic, Cuthbert’s Onion, Striped Onion"
Allium speculae,"Little River Canyon Onion, Flatrock Onion, Ownbey’s Onion"
Allium tricoccum,"Red Ramps, Wild Leek, Ramp-Scallions"
Allium tuberosum,"Chinese Chives, Oriental Garlic"
Allium vineale,"Wild Garlic, Field Garlic, Crow Garlic"
Alnus serrulata,"Tag Alder, Hazel Alder, Brookside Alder"
Alopecurus carolinianus,"Carolina Foxtail, Tufted Meadow-Foxtail, Tufted Foxtail"
Alopecurus myosuroides,"Slender Meadow-Foxtail, Blackgrass, Mouse Foxtail, Slender Foxtail"
