SpeciesName,HerbariumSpecimenName,Genus,Species Epithet,Author 1,Author 2,rank,infspecies,InfAuthor1,InfAuthor2
Abelia ×grandiflora,Abelia ×grandiflora (Rovelli ex André) Rehder,Abelia,×grandiflora,Rovelli ex André,Rehder,,,,
Abelmoschus esculentus,Abelmoschus esculentus (Linnaeus) Moench,Abelmoschus,esculentus,Linnaeus,Moench,,,,
Abutilon theophrasti,Abutilon theophrasti Medicus,Abutilon,theophrasti,Medicus,,,,,
Acalypha alopecuroidea,Acalypha alopecuroidea Jacquin,Acalypha,alopecuroidea,Jacquin,,,,,
Acalypha deamii,Acalypha deamii (Weatherby) Ahles,Acalypha,deamii,Weatherby,Ahles,,,,
Acalypha gracilens,Acalypha gracilens Gray,Acalypha,gracilens,Gray,,,,,
Acalypha ostryifolia,Acalypha ostryifolia Riddell,Acalypha,ostryifolia,Riddell,,,,,
Acalypha poiretii,Acalypha poiretii Sprengel,Acalypha,poiretii,Sprengel,,,,,
Acalypha rhomboidea,Acalypha rhomboidea Rafinesque,Acalypha,rhomboidea,Rafinesque,,,,,
Acalypha setosa,Acalypha setosa A. Richard,Acalypha,setosa,A. Richard,,,,,
Acalypha virginica,Acalypha virginica Linnaeus,Acalypha,virginica,Linnaeus,,,,,
Acanthospermum australe,Acanthospermum australe (Loefling) Kuntze,Acanthospermum,australe,Loefling,Kuntze,,,,
Acanthospermum hispidum,Acanthospermum hispidum A.P. de Candolle,Acanthospermum,hispidum,A.P. de Candolle,,,,,
Acanthospermum humile,Acanthospermum humile (Swartz) A.P. de Candolle,Acanthospermum,humile,Swartz,A.P. de Candolle,,,,
Acer floridanum,Acer floridanum (Chapman) Pax,Acer,floridanum,Chapman,Pax,,,,
Acer leucoderme,Acer leucoderme Small,Acer,leucoderme,Small,,,,,
Acer negundo,Acer negundo Linnaeus,Acer,negundo,Linnaeus,,,,,
Acer nigrum,Acer nigrum Michaux f.,Acer,nigrum,Michaux f.,,,,,
Acer rubrum var. drummondii,Acer rubrum Linnaeus var. drummondii (Hooker & Arnold) Sargent,Acer,rubrum,Linnaeus,,var.,drummondii,Hooker & Arnold,Sargent
Acer rubrum var. rubrum,Acer rubrum Linnaeus var. rubrum,Acer,rubrum,Linnaeus,,var.,rubrum,,
Acer rubrum var. trilobum,Acer rubrum Linnaeus var. trilobum Torrey & Gray ex K. Koch,Acer,rubrum,Linnaeus,,var.,trilobum,Torrey & Gray ex K. Koch,
Acer saccharinum,Acer saccharinum Linnaeus,Acer,saccharinum,Linnaeus,,,,,
Acer saccharum,Acer saccharum Marshall,Acer,saccharum,Marshall,,,,,
